,0
"(u'inner', u'surfac')",1
"(u'provid', u'set')",2
"(u'one', u'claim')",8
"(u'lie', u'said')",2
"(u'outward', u'tighten')",1
"(u'.', u'23')",1
"(u'wherein', u'resist')",1
"(u'engag', u'base')",3
"(u'wherein', u'plural')",6
"(u'thereof', u'prevent')",1
"(u'claim', u'2')",1
"(u'thereof', u'.')",2
"(u'peripheri', u'surfac')",1
"(u'fix', u'faucet')",2
"(u'wherein', u'two')",1
"(u'wherein', u'curv')",1
"(u'detach', u'engag')",1
"(u'member', u'pivot')",2
"(u'.', u'28')",1
"(u'said', u'cover')",3
"(u'member', u'insert')",2
"(u'.', u'17')",1
"(u'(', u'2')",1
"(u'toward', u'said')",1
"(u'9', u'.')",1
"(u'one', u'base')",2
"(u'surfac', u'base')",1
"(u'connector', u'posit')",3
"(u'fix', u'predetermin')",4
"(u'open', u'portion')",2
"(u'said', u'tighten')",9
"(u'.', u'8')",1
"(u'13', u',')",4
"(u'inclin', u'toward')",1
"(u'faucet', u'base')",2
"(u'member', u'construct')",4
"(u'resist', u'portion')",2
"(u'support', u'member')",37
"(u'15', u'.')",1
"(u'posit', u'extern')",4
"(u'wherein', u'buffer')",1
"(u'configur', u'releas')",2
"(u'two', u'bolt')",2
"(u'10', u'.')",1
"(u'wherein', u'open')",1
"(u'plate', u'bottom')",2
"(u'attach', u'depend')",1
"(u'member', u'turn')",3
"(u'16', u'.')",1
"(u'plate', u'attach')",1
"(u'member', u',')",1
"(u',', u'compris')",1
"(u'extend', u'bottom')",2
"(u'3', u'.')",1
"(u'29', u'.')",1
"(u'member', u'plural')",2
"(u'claim', u'14')",1
"(u'releas', u'fix')",4
"(u',', u'said')",4
"(u'form', u'peripher')",1
"(u'guid', u'bodi')",2
"(u'posit', u'said')",1
"(u'handi', u'spray')",2
"(u'8', u'.')",1
"(u'insert', u'mount')",2
"(u'therein', u'.')",1
"(u'ring', u'penetr')",1
"(u'surfac', u'support')",6
"(u'seat', u'base')",1
"(u'set', u'connector')",2
"(u'direct', u'inward')",4
"(u'outward', u';')",1
"(u'claim', u'9')",1
"(u'faucet', u'onto')",1
"(u'inward', u'.')",2
"(u'support', u'base')",2
"(u'plate', u'.')",3
"(u'member', u'compris')",2
"(u'bodi', u'guid')",1
"(u',', u'therebi')",2
"(u'member', u'peripher')",1
"(u'engag', u'bottom')",1
"(u'hole', u'said')",4
"(u'turn', u'tighten')",1
"(u'configur', u'prevent')",2
"(u'30', u'.')",1
"(u'said', u'resist')",1
"(u'curv', u'surfac')",1
"(u'23', u'.')",1
"(u'end', u'thereof')",1
"(u'configur', u'insert')",1
"(u'.', u'18')",1
"(u'hole', u',')",7
"(u'connector', u'front')",2
"(u'contact', u'inner')",1
"(u'member', u'configur')",5
"(u'portion', u'faucet')",2
"(u',', u'spacer')",1
"(u'member', u'direct')",4
"(u'detach', u'said')",3
"(u'provid', u'resist')",1
"(u'intern', u'surfac')",4
"(u'24', u',')",3
"(u'along', u'plural')",2
"(u'member', u'open')",6
"(u'direct', u'outward')",2
"(u'end', u'said')",1
"(u'.', u'12')",1
"(u'movabl', u'along')",2
"(u'engag', u'said')",1
"(u'claim', u'13')",4
"(u'27', u'.')",1
"(u'spacer', u',')",1
"(u'bodi', u'.')",1
"(u',', u'support')",2
"(u'~~', u'1')",1
"(u'connector', u'provid')",2
"(u'said', u'bolt')",5
"(u'tune', u'member')",1
"(u'depend', u'upon')",1
"(u'connector', u'configur')",4
"(u'member', u'rotat')",1
"(u'portion', u'.')",1
"(u'.', u'27')",1
"(u'move', u'loosen')",1
"(u'construct', u'detach')",1
"(u'2', u'.')",1
"(u'adapt', u'member')",1
"(u'surfac', u'tighten')",2
"(u'hole', u'form')",3
"(u'ring', u'pivot')",1
"(u'said', u'mount')",5
"(u'engag', u'intern')",1
"(u'connector', u'two')",2
"(u'hole', u'drill')",1
"(u'faucet', u'support')",37
"(u'31', u'.')",1
"(u'said', u'plural')",11
"(u'portion', u'plural')",3
"(u'connector', u'contact')",2
"(u'ring', u'cover')",1
"(u'prevent', u'said')",1
"(u'.', u'6')",1
"(u'attach', u'plural')",2
"(u'18', u'.')",1
"(u'said', u'convex')",1
"(u'1', u'8')",1
"(u'base', u'plate')",18
"(u'1', u'3')",7
"(u'pivot', u'mount')",1
"(u'mount', u'outer')",1
"(u'seat', u'onto')",1
"(u'21', u'.')",1
"(u'posit', u',')",1
"(u'adjust', u'portion')",1
"(u'.', u'9')",1
"(u'seat', u'convex')",1
"(u'penetr', u'hole')",2
"(u'surfac', u'configur')",4
"(u'inward', u'plural')",2
"(u'hold', u'water')",1
"(u'seat', u'extend')",2
"(u'mount', u'hole')",16
"(u'26', u'.')",1
"(u'support', u'faucet')",2
"(u'pivot', u'independ')",1
"(u'configur', u'engag')",4
"(u'portion', u'attach')",1
"(u'member', u'detach')",1
"(u'attach', u'said')",2
"(u'convex', u'portion')",2
"(u'plural', u'turn')",3
"(u'member', u'fix')",2
"(u'compris', u':')",3
"(u'plate', u'provid')",1
"(u':', u'support')",2
"(u'connector', u'bolt')",2
"(u'1', u'.')",1
"(u'.', u'20')",1
"(u'plural', u'tighten')",22
"(u'maintain', u'distanc')",1
"(u'portion', u'lie')",1
"(u'member', u'lie')",1
"(u'provid', u'said')",6
"(u',', u'front')",1
"(u'insert', u'hole')",2
"(u'front', u'end')",7
"(u'loosen', u'direct')",1
"(u'said', u'open')",1
"(u'spacer', u'provid')",3
"(u'claim', u'1')",19
"(u'inner', u'peripheri')",1
"(u'.', u'29')",1
"(u'.', u'16')",1
"(u'28', u'.')",1
"(u'seat', u',')",2
"(u'direct', u'thereof')",1
"(u'fix', u'member')",3
"(u'said', u'support')",18
"(u'surfac', u'said')",9
"(u'member', u'releas')",2
"(u',', u'bolt')",1
"(u'defin', u'one')",8
"(u'drill', u'said')",2
"(u',', u'faucet')",4
"(u'rotat', u'direct')",1
"(u'main', u'bodi')",2
"(u'beyond', u'diamet')",6
"(u'member', u'posit')",2
"(u'bodi', u',')",1
"(u'seat', u'.')",3
"(u'.', u'14')",1
"(u'form', u'upper')",2
"(u'defin', u'claim')",21
"(u'seat', u'fix')",4
"(u'6', u'.')",1
"(u'seat', u'contact')",1
"(u'wherein', u'connector')",1
"(u'seat', u'detach')",2
"(u'bolt', u'.')",4
"(u'nut', u'screw')",1
"(u'portion', u'thereof')",1
"(u'.', u'31')",1
"(u'14', u'.')",1
"(u'inhibit', u'said')",1
"(u'posit', u'.')",3
"(u'hole', u'attach')",1
"(u'faucet', u'least')",2
"(u'member', u'move')",3
"(u'24', u'.')",1
"(u'diamet', u'mount')",6
"(u'portion', u'form')",2
"(u'.', u'3')",1
"(u'13', u'.')",1
"(u'bolt', u',')",2
"(u'contact', u'intern')",3
"(u'plural', u'connector')",16
"(u'seat', u'upper')",2
"(u'member', u'upper')",2
"(u'said', u'spacer')",4
"(u'buffer', u'member')",1
"(u'peripheri', u'said')",1
"(u'turn', u'plural')",2
"(u'.', u'4')",1
"(u'A', u'faucet')",31
"(u'.', u'22')",1
"(u'coupl', u'plural')",1
"(u',', u'plural')",1
"(u'member', u'attach')",1
"(u'tighten', u'member')",38
"(u'peripher', u'wall')",2
"(u'said', u'fix')",2
"(u'seat', u'grip')",2
"(u'attach', u'upper')",1
"(u'toward', u'bottom')",2
"(u'two', u'(')",1
"(u'2', u')')",1
"(u'manner', u'.')",2
"(u'outer', u'peripheri')",1
"(u':', u'cover')",1
"(u'resist', u'said')",1
"(u'.', u'10')",1
"(u'therebi', u'support')",2
"(u'wall', u'thereof')",1
"(u'.', u'25')",1
"(u'member', u'screw')",2
"(u'faucet', u',')",2
"(u'said', u'base')",4
"(u';', u'fix')",1
"(u'1', u',')",11
"(u'onto', u'said')",5
"(u'bolt', u'said')",2
"(u'surfac', u'mount')",1
"(u'configur', u'extend')",2
"(u'spray', u',')",2
"(u'portion', u'said')",8
"(u'member', u'said')",1
"(u'bodi', u'detach')",1
"(u'5', u'.')",1
"(u',', u'nut')",1
"(u'seat', u';')",2
