Trigram,Count
"mean, may, actuat",1
"mean, remov, abut",2
"mean, remov, hold",1
"mean, support, rail",1
"mean, wherebi, brake",1
"measur, airflow, porou",1
"measur, airflow, rate",7
"measur, meter, accumul",1
"mechan, compris, water",1
"mechan, edg, clean",2
"meet, main, bodi",1
"meet, upper, wall",1
"member, attach, upper",1
"member, compris, elastomer",3
"member, compris, elong",3
"member, configur, insert",1
"member, configur, movabl",2
"member, configur, releas",2
"member, construct, adjust",1
"member, construct, detach",1
"member, construct, main",1
"member, construct, plural",1
"member, contact, front",1
"member, contact, intern",1
"member, coupl, plural",1
"member, defin, claim",21
"member, defin, one",8
"member, detach, said",1
"member, direct, inward",3
"member, direct, outward",1
"member, engag, intern",1
"member, first, end",6
"member, fix, base",2
"member, inclin, toward",1
"member, inhibit, said",1
"member, insert, mount",2
"member, lie, said",1
"member, move, loosen",1
"member, move, toward",2
"member, open, beyond",6
"member, oper, engag",1
"member, peripher, wall",1
"member, pivot, attach",2
"member, plural, tighten",2
"member, posit, extern",2
"member, provid, inner",1
"member, provid, said",3
"member, releas, fix",2
"member, rotat, direct",1
"member, said, base",1
"member, said, panel",2
"member, screw, onto",2
"member, slit, extend",1
"member, turn, plural",2
"member, turn, tighten",1
"member, upper, surfac",2
"membran, compris, cloth",2
"meter, accumul, cover",1
"method, accord, claim",8
"method, measur, airflow",1
"middl, front, portion",1
"middl, portion, compris",3
"middl, portion, gener",1
"middl, portion, may",3
"middl, portion, said",2
"mix, water, air",1
"mount, hole, attach",1
"mount, hole, form",2
"mount, hole, front",1
"mount, hole, said",4
"mount, outer, peripheri",1
"mount, slide, advanc",6
"movabl, along, plural",2
"move, downwardli, along",4
"move, loosen, direct",1
"move, toward, bottom",2
"moveabl, seat-support, leg",2
"neck, user, second",2
"neck, user, wherein",4
"NH, 4, OH",1
"NH4OH/H, 2, O",1
"non-rot, nozzl, remov",1
"non-rotat, nozzl, tube",1
"nozzl, articulat, direct",1
"nozzl, articulat, upon",1
"nozzl, oper, said",2
"nozzl, plural, lug",1
"nozzl, remov, rotari",1
"nozzl, rotat, said",1
"nozzl, tube, eyebal",1
"nozzl, tube, plural",1
"nozzl, tube, releas",1
"nozzl, tube, said",3
"nut, screw, onto",1
"occupi, space, defin",2
"OH, ., 31",1
"one, adhes, section",1
"one, arm, portion",2
"one, base, end",2
"one, belt, remov",1
"one, bevel, area",2
"one, bodi, part",1
"one, chemic, compris",2
"one, chemic, point",1
"one, envelop, includ",1
"one, first, close",4
"one, leg, portion",7
"one, releas, attach",1
"one, said, bodi",1
"one, said, cant",1
"one, tearabl, perfor",4
"one, wheel, provid",1
"onto, said, base",1
"onto, said, bolt",3
"onto, said, support",1
"open, beyond, diamet",6
"open, portion, said",2
"open, posit, collect",4
"open, posit, top",4
"oper, coupl, said",1
"oper, engag, plural",1
"oper, said, whirlpool",2
"opposit, surfac, water-hold",2
"orient, gener, parallel",1
"orient, said, eyebal",1
"orient, select, angl",2
"outer, bathtub, side",1
"outer, end, bar",1
"outer, end, connect",1
"outer, peripheri, said",1
"outer, rail-support, mean",1
"outer, rail, support",1
"outer, side, bathtub",2
"outer, side, said",2
"outsid, bathtub, ,",1
"outward, tighten, member",1
"panel, front, edg",3
"panel, gener, enclos",2
"panel, height, gener",2
"panel, middl, portion",3
"panel, orient, gener",1
"panel, slit, extend",2
"panel, width, gener",2
"parallel, said, front",1
"part, portion, adapt",1
"part, portion, commun",1
"part, portion, includ",3
"part, said, least",1
"part, sock, toe",1
"particl, bevel, area",2
"particul, liquid, move",4
"pass, said, stream",1
"penetr, hole, fix",1
"penetr, hole, form",1
"penetr, said, bolt",1
"perfor, adhes, section",1
"perfor, least, one",1
"perfor, torn, permit",2
"perimet, hole, said",2
"perineum, male, ride",3
"perineum, protect, devic",16
"peripher, wall, said",1
"peripher, wall, thereof",1
"peripheri, said, support",1
"peripheri, surfac, mount",1
"permit, outer, end",1
"permit, quick, remov",1
"permit, remov, protector",1
"person, may, wash",1
"person, seat, seat",1
"piec, compris, polystyren",1
"piec, occupi, space",2
"pipe, insert, said",2
"pivot, attach, plural",2
"pivot, mount, outer",1
"plate, attach, said",1
"plate, bottom, surfac",2
"plate, faucet, support",4
"plate, provid, resist",1
"plural, cant, apertur",1
"plural, connector, bolt",2
"plural, connector, configur",4
"plural, connector, front",2
"plural, connector, posit",1
"plural, connector, provid",2
"plural, connector, two",2
"plural, hole, therein",2
"plural, lug, engag",2
"plural, tighten, member",22
"plural, tune, member",1
"plural, turn, prevent",3
"point, contact, semiconductor",2
"point, contact, side",2
"poli, vinyl, alcohol",3
"porou, cover, includ",1
"porou, sleep, surfac",5
"portion, adapt, enclos",1
"portion, air, concentr",1
"portion, air, flow",1
"portion, arm, portion",1
"portion, around, his/her",2
"portion, attach, depend",1
"portion, chest, stomach",4
"portion, compos, five",2
"portion, compris, cushion",3
"portion, cover, ankl",3
"portion, cover, foot",3
"portion, cover, heel",3
"portion, faucet, ,",2
"portion, first, strap",2
"portion, form, hold",1
"portion, form, upper",1
"portion, gener, enclos",1
"portion, handi, spray",2
"portion, includ, head",1
"portion, includ, least",2
"portion, integr, form",1
"portion, lie, said",1
"portion, main, bodi",1
"portion, may, select",3
"portion, meet, main",1
"portion, plural, tighten",3
"portion, porou, sleep",1
"portion, provid, drawstr",1
"portion, provid, feet",1
"portion, provid, hand",1
"portion, releas, attach",2
"portion, said, faucet",2
"portion, said, panel",2
"portion, said, support",2
"portion, said, tighten",4
"portion, second, strap",2
"portion, tighten, member",1
"portion, upper, wall",2
"portion, wherebi, user",1
"portion, wherein, inner",1
"posit, adjac, outer",1
"posit, adjac, said",1
"posit, brace, mean",12
"posit, center, region",2
"posit, collect, particul",4
"posit, concentr, within",1
"posit, cover, front",4
"posit, engag, two",1
"posit, extend, first",2
"posit, extern, side",4
"posit, gener, adjac",12
"posit, outer, side",2
"posit, said, convex",1
"posit, second, end",4
"posit, storag, second",4
"posit, strap, section",1
"posit, strap, tearabl",1
"posit, top, end",4
"pouch, posit, second",4
"pouch, top, end",4
"prevent, damag, penil",3
"prevent, member, contact",1
"prevent, member, coupl",1
"prevent, member, detach",1
"prevent, member, engag",1
"prevent, member, oper",1
"prevent, member, posit",1
"prevent, member, provid",2
"prevent, member, therein",1
"prevent, plural, tighten",2
"prevent, said, fix",1
"produc, air, flow",1
"produc, flow, late",1
"produc, flow, rate",4
"produc, second, strap",2
"proof, seal, form",1
"proof, seal, said",1
"propel, least, one",1
"propel, water, area",1
"propel, water, point",1
"protect, devic, claim",13
"protect, devic, protect",3
"protect, perineum, male",3
"protector, cover, around",2
"protector, cover, front",4
"protector, cover, second",4
"protector, cover, wherein",2
"protector, neck, user",4
"protector, support, adapt",3
"protector, support, compris",4
"protector, support, posit",4
"protector, use, user",1
"provid, axi, rotat",1
"provid, brake, mean",1
"provid, drawstr, enabl",2
"provid, either, main",1
"provid, feet, portion",1
"provid, gusset, region",1
"provid, hand, portion",1
"provid, inner, bathtub",1
"provid, inner, surfac",1
"provid, ledg, wherein",1
"provid, outer, bathtub",1
"provid, releas, sealabl",1
"provid, resist, said",1
"provid, said, support",5
"provid, said, tighten",1
"provid, set, connector",2
"provid, substanti, water",2
"provid, support, base",2
"provid, wheel, lower",1
"provid, zip, fasten",1
"proxim, floor, outsid",1
"proxim, inner, end",1
"quick, remov, protector",1
"rail-support, mean, compris",2
"rail-support, mean, support",1
"rail, dimens, span",1
"rail, displac, use",6
"rail, engag, insid",6
"rail, may, support",1
"rail, provid, inner",1
"rail, said, floor",1
"rail, support, mean",1
"rail, wherebi, seat",1
"rang, 20:1, 60:1",1
"rate, 10.20, cm/",1
"rate, 25.40, cm/",6
"rate, bed, dispos",1
"rate, compris, measur",1
"rate, concentr, portion",1
"rate, least, 10.20",1
"ratio, cover, area",2
"region, bathtub, said",1
"region, least, two",1
"region, said, bathtub",1
"rel, said, wall",2
"releas, attach, bodi",3
"releas, attach, main",2
"releas, attach, said",1
"releas, fix, base",2
"releas, fix, faucet",2
"releas, manner, select",1
"releas, sealabl, flap",1
"remov, abut, said",2
"remov, attach, side",1
"remov, hold, said",1
"remov, protector, neck",1
"remov, protector, use",1
"remov, rotari, face",1
"remov, said, cover",3
"remov, said, nozzl",2
"remov, said, rotari",3
"resist, portion, form",1
"resist, portion, lie",1
"resist, said, tighten",1
"resist, water, proof",4
"respect, one, said",1
"respect, rotat, apertur",1
"respons, water, air",1
"ride, bicycl, prevent",3
"rigid, semirigid, materi",2
"rim, locat, side",1
"rim, made, materi",1
"ring, cover, said",1
"ring, homogen, materi",1
"ring, penetr, hole",1
"ring, pivot, mount",1
"roller, approxim, 1.5",1
"roller, clean, edg",1
"roller, clean, said",1
"roller, clear, edg",1
"roller, compris, abras",4
"roller, configur, rotat",4
"roller, gener, friction",1
"roller, locat, provid",1
"roller, rotat, direct",1
"roller, rotat, semiconductor",3
"roller, rotat, speed",1
"roller, second, speed",1
"root, line, toe",1
"rotari, assembl, compris",2
"rotari, assembl, engag",1
"rotari, assembl, said",2
"rotari, assembl, spray",1
"rotari, configur, concentr",1
"rotari, configur, direct",1
"rotari, face, attach",1
"rotari, face, compris",1
"rotari, face, fluid",1
"rotari, face, rotat",1
"rotari, face, said",2
"rotat, apertur, direct",1
"rotat, apertur, impart",1
"rotat, apertur, respons",1
"rotat, direct, first",3
"rotat, direct, outward",1
"rotat, direct, second",2
"rotat, said, rotat",1
"rotat, semiconductor, substrat",1
"rotat, semiconductor, wafer",2
"rotat, speed, faster",1
"rotat, speed, first",1
"rotat, speed, second",2
"rotat, spin, said",1
"rotat, support, bar",1
"rotat, torqu, said",1
"rubber, synthet, foam",1
"run, substanti, length",1
"said, air, inlet",1
"said, apertur, direct",1
"said, apparatu, compris",1
"said, back, edg",6
"said, bar, permit",1
"said, base, plate",4
"said, bathtub, .",1
"said, bathtub, inner",1
"said, bathtub, posit",1
"said, bathtub, whereat",1
"said, bear, shape",1
"said, bodi, part",2
"said, bolt, insert",1
"said, bolt, said",1
"said, cant, apertur",1
"said, connector, base",1
"said, connector, contact",2
"said, connector, posit",1
"said, convex, portion",1
"said, cover, member",3
"said, cover, membran",5
"said, cover, ring",3
"said, cushion, materi",3
"said, devic, compris",3
"said, direct, stationari",1
"said, divid, knit",1
"said, drawstr, locat",1
"said, elong, flexibl",3
"said, eyebal, may",2
"said, faucet, onto",1
"said, feet, portion",3
"said, first, configur",1
"said, first, end",6
"said, first, loop",2
"said, first, second",3
"said, first, side",6
"said, fix, member",2
"said, front, edg",8
"said, guid, bodi",1
"said, guid, member",3
"said, hand, portion",2
"said, head, portion",1
"said, hous, fluid",1
"said, least, one",7
"said, least, one",3
"said, least, two",2
"said, main, bodi",3
"said, main, bodi",1
"said, middl, portion",8
"said, mount, hole",5
"said, nozzl, articulat",1
"said, nozzl, oper",2
"said, nozzl, plural",1
"said, nozzl, rotat",1
"said, nozzl, tube",8
"said, open, portion",1
"said, outer, rail",1
"said, panel, front",2
"said, panel, gener",2
"said, panel, height",2
"said, panel, middl",3
"said, panel, orient",1
"said, panel, perineum",3
"said, panel, slit",2
"said, panel, width",2
"said, penetr, hole",1
"said, plural, connector",6
"said, plural, hole",1
"said, plural, tighten",3
"said, plural, tune",1
"said, plural, turn",1
"said, porou, cover",1
"said, posit, brace",6
"said, rail, said",1
"said, resist, portion",1
"said, rotari, assembl",7
"said, rotari, configur",1
"said, rotari, face",6
"said, rotat, apertur",1
"said, seat-support, leg",1
"said, second, configur",1
"said, second, end",6
"said, second, loop",2
"said, second, side",6
"said, secur, mean",3
"said, slit, gener",1
"said, slit, remov",3
"said, spacer, insert",1
"said, spacer, provid",2
"said, stream, gener",1
"said, stream, respect",1
"said, stream, said",1
"said, stream, water",1
"said, substanti, water",1
"said, support, bar",1
"said, support, seat",18
"said, tighten, member",9
"said, turn, prevent",5
"said, wall, apertur",2
"said, water, conduct",1
"said, water, inlet",1
"said, whirlpool, jet",4
"screw, onto, said",3
"scrub, apparatu, clean",1
"scrub, edg, clean",1
"scrub, semiconductor, substrat",1
"scrub, semiconductor, wafer",2
"scrubber, defin, claim",15
"scrubber, scrub, semiconductor",2
"seal, form, provid",1
"seal, said, main",1
"sealabl, flap, provid",1
"seat-support, leg, also",1
"seat-support, leg, bar",1
